Index; Block; Block Patterns; Nonce; Nonce Patterns; Traits; Powers [Luck,Health,Stealth,Magic,Agility,Defense,Strength,Crafting]; oneOfOneTrait;
1;479808;[gematria_9,gematria_36,multiple_42,multiple_48,multiple_49,multiple_51,multiple_56,multiple_84,multiple_96,multiple_98,multiple_102,multiple_224];2949556041;[gematria_9,gematria_45,repeat_2_5,multiple_69,multiple_87];[Arrows,Mint,Naked,Rooster,Green Eyes,Tooth,Pink,Yellow Bone,Oak,No Lasers,Pirate Hat,Special Glasses,Horns,Tusk,Poison Potion,Crown,Missing Tooth,Pork,Golden Nuggets];[21,8,7,0,2,0,0,7];
2;479809;[gematria_1,gematria_37,multiple_53];1254673104;[gematria_6,gematria_33,multiple_48];[Arrows,Orange,Healing Potion Belt,Light Bulb,Green Goggles,Teeth,Yellow Nose,Smoke,Oak,No Lasers,Nose2015];[0,4,2,3,2,3,0,7];
3;479810;[gematria_2,gematria_29];815553911;[gematria_2,gematria_38,repeat_2_1,repeat_2_5,repeat_3_5];[Arrows,Grey,Dead Dwarf,Light Bulb,Green Eyes,Tooth,Bandage,Arrow,Shield,No Lasers];[2,5,2,0,4,3,3,3];
4;479811;[gematria_3,gematria_30,repeat_2_1];222945184;[gematria_1,gematria_37,repeat_2_2,repeat_3_2,multiple_44,multiple_56,multiple_77,multiple_88,multiple_224,perfect_square_4];[Arrows,Green,Healing Potion Belt,Punk,Blue Eyes,Tongue,Mechanic,Logo,Oak,No Lasers];[0,9,2,0,2,2,0,3];
5;479812;[gematria_4,gematria_31];2809782216;[gematria_9,gematria_45,repeat_2_2,multiple_54,multiple_93,multiple_108,multiple_186,perfect_square_4];[No Back Props,Black,Compass,Candle,Sun Glasses,Open Mouth,Pink,No Earrings,Shield,No Lasers];[0,7,2,0,2,7,0,6];
6;479813;[gematria_5,gematria_32];865359035;[gematria_8,gematria_44];[Bag,Pantone,Naked,Short Spikes,Green Eyes,Small Tusk,Bandage,Spear,Shield,No Lasers];[4,8,2,0,3,5,0,0];
7;479814;[gematria_6,gematria_33,multiple_422];3067119678;[gematria_3,gematria_48,repeat_2_1,multiple_42,perfect_square_3];[Bag,Pantone,Red Suit,Short Spikes,Happy,Teeth,Drill,Spear,No Foreground,No Lasers];[2,6,2,0,5,5,0,2];
8;479815;[gematria_7,gematria_34];436467120;[gematria_6,gematria_33,multiple_40,multiple_48,multiple_60,multiple_80,multiple_83,multiple_332];[No Back Props,Lime,Healing Potion Belt,Samurai,Glasses,Tongue,Cream,Bone,Bat,No Lasers];[0,6,4,0,7,2,0,2];
9;479816;[gematria_8,gematria_35,multiple_74];3550255974;[gematria_9,gematria_45,repeat_2_5,multiple_54];[Arrows,Orange,Dead Dwarf,Punk,Green Eyes,Open Mouth,Red Nose,Smoke,Black Wolf,No Lasers,Sword Foreground];[0,11,2,3,2,0,11,0];
10;479817;[gematria_9,gematria_36,multiple_39];2624927372;[gematria_8,gematria_44];[Bag,Green,Jade,Samurai,Red Eyes,Tongue,Yellow Nose,Logo,Pickaxe,No Lasers,Yellow Skull Belt];[2,5,7,0,3,2,3,0];
11;479818;[gematria_1,gematria_37];3570126920;[gematria_8,gematria_35,multiple_40,multiple_79,contains_70];[No Back Props,Purple,Dead Dwarf,Rooster,Red Eyes,Teeth,Red Nose,Spike,Black Wolf,No Lasers];[2,6,2,0,5,6,3,0];
12;479819;[gematria_2,gematria_38];3342054505;[gematria_4,gematria_31,repeat_2_3,contains_420];[Bag,Mint,Grey Suit,Short Hair,Green Eyes,Tooth,Mechanic,Yellow Bone,Axe,No Lasers];[4,3,6,0,0,0,5,3];
13;479820;[gematria_3,gematria_30,multiple_44,multiple_55,multiple_60,multiple_220,multiple_330];1640006522;[gematria_8,gematria_26,repeat_2_0,repeat_3_0,repeat_2_2,multiple_77,perfect_square_3,perfect_square_4];[Bag,Mint,Grey Suit,Rooster,Lazy,Tooth,Red Nose,Yellow Bone,Pickaxe,No Lasers,X Earrings,Booger,Green Hoody];[10,8,7,0,0,0,3,0];
14;479821;[gematria_4,gematria_31];3769321048;[gematria_7,gematria_43,contains_321];[Bag,Pantone,Naked,Miners Cap,Red Eyes,Small Tusk,Pink,Spear,No Foreground,No Lasers];[4,8,2,0,5,0,0,2];
15;479822;[gematria_5,gematria_32,repeat_2_2];155214797;[gematria_5,gematria_41,repeat_2_5];[Arrows,Orange,Tattoos,Short Hair,Happy,Open Mouth,Bandage,Smoke,Shield,No Lasers,Purple];[7,7,4,3,2,3,0,0];
16;479823;[gematria_6,gematria_33,multiple_41,multiple_47,multiple_83];319137382;[gematria_1,gematria_37];[Bag,Grey,Jade,Samurai,Yellow Eyes,Teeth,Pink,Arrow,Axe,No Lasers,Yellow Hoody,Fire Eyes,Halo];[2,11,6,0,2,3,9,0];
17;479824;[gematria_7,gematria_34];1588033363;[gematria_4,gematria_40,repeat_2_3,repeat_3_3,repeat_2_8];[No Back Props,Red,Jade,Light Bulb,Yellow Eyes,Tooth,Wooden,Cross,Black Wolf,No Lasers];[4,3,2,3,5,0,0,5];
18;479825;[gematria_8,gematria_35,multiple_85,multiple_425];444644754;[gematria_6,gematria_42,repeat_2_4,repeat_3_4,multiple_41,multiple_82];[Arrows,Mint,Tattoos,Short Hair,Blue Eyes,Teeth,Yellow Nose,Yellow Bone,Bat,No Lasers,Feathered War Bonnet];[2,3,2,8,8,3,2,0];
19;479826;[gematria_9,gematria_36,multiple_46,multiple_57,multiple_69,multiple_183];1126494135;[gematria_9,gematria_36,repeat_2_1,multiple_39,multiple_45,multiple_57,multiple_81,multiple_95];[Bag,Green,Healing Potion Belt,Short Hair,Open,Tongue,Cream,Logo,Shield,No Lasers,Rubix,Yin Yang,Goblin Banner,Golden Teeth];[9,2,4,5,2,5,6,6];
