Index; Block; Patterns; Traits; Powers [Luck,Health,Stealth,Magic,Agility,Defense,Strength,Crafting]; oneOfOneTrait;
0;444338;[gematria_8,gematria_26,repeat_2_3,repeat_2_4,repeat_3_4,multiple_47,multiple_58,multiple_94,multiple_326];[Bag,Mint,Jade,Short Hair,Blue Eyes,Tongue,Yellow Nose,Yellow Bone,Bat,No Lasers,Striped,Skull Belt,Fire Eyes,Tiger,Orange Beard];[2,0,12,0,6,0,8,6];
1;458120;[gematria_2,gematria_20,multiple_40,multiple_52,multiple_104,multiple_520];[No Back Props,Orange,Healing Potion Belt,Spikes,Green Eyes,Tongue,Yellow Nose,Smoke,Shield,No Lasers,Blue Hoody,Cow,White Beard,Golden Loop];[4,1,2,0,9,5,10,0];
2;443994;[gematria_6,gematria_33,repeat_2_4,repeat_2_9];[Arrows,Mint,Dead Dwarf,Light Bulb,Blue Eyes,Tongue,Yellow Nose,Yellow Bone,Axe,No Lasers,Skull Belt];[0,5,5,0,5,0,5,3];
3;203318;[gematria_8,gematria_17,repeat_2_3];[Bag,Black,Jade,Light Bulb,Lazy,Open Mouth,Mechanic,No Earrings,Axe,No Lasers,Kings Suit,Striped];[2,5,7,0,0,4,13,6];
4;535204;[gematria_1,gematria_19];[Arrows,Lime,Compass,Punk,Yellow Eyes,Tooth,Bandage,Bone,Black Wolf,No Lasers,Gold];[2,7,2,0,3,2,0,2];
5;380712;[gematria_3,gematria_21,multiple_58,multiple_87,multiple_232];[Bag,Red,Tattoos,Bald,Sun Glasses,Small Tusk,Green Nose,Cross,No Foreground,No Lasers,Red Hoody,Tiger,Skull Hat];[7,3,9,9,2,0,0,2];
6;149027;[gematria_5,gematria_23];[Arrows,Mint,Naked,Short Spikes,Blue Eyes,Teeth,Wiggle,Yellow Bone,Oak,No Lasers];[2,3,5,0,2,5,2,0];
7;834192;[gematria_9,gematria_27,multiple_48,multiple_54,multiple_108,multiple_432];[Bag,Lime,Healing Potion Belt,Short Hair,Yellow Eyes,Small Tusk,Wooden,Bone,Bat,No Lasers,Special Glasses,Nose Ring,Skull Earrings];[11,7,4,0,3,0,0,7];
8;683643;[gematria_3,gematria_30,multiple_93];[No Back Props,Red,Red Suit,Light Bulb,Sun Glasses,Teeth,Cream,Cross,Axe,No Lasers,Cigar];[2,4,2,0,4,0,3,11];
9;785588;[gematria_5,gematria_41,repeat_2_5,repeat_2_8,multiple_46,multiple_92];[Bag,Red,Grey Suit,Punk,Sun Glasses,Open Mouth,Drill,Cross,Black Wolf,No Lasers,Ruby,Bowl Hat,Rubix,Patch];[9,13,2,0,3,0,0,9];
10;624285;[gematria_9,gematria_27,multiple_45];[Bag,Green,Compass,Short Hair,Red Eyes,Teeth,Cream,Logo,Bat,No Lasers,Sword];[2,3,4,0,5,3,4,2];
11;320871;[gematria_3,gematria_21];[Arrows,Green,I Love Goblins,Bald,Red Eyes,Small Tusk,Green Nose,Logo,No Foreground,No Lasers,Red Hoody];[5,6,2,4,4,2,0,0];
12;611826;[gematria_6,gematria_24,repeat_2_1,multiple_321];[No Back Props,Grey,I Love Goblins,Miners Cap,Happy,Teeth,Cream,Arrow,Shield,No Lasers];[3,4,2,0,6,6,0,2];
13;147314;[gematria_2,gematria_20];[Arrows,Mint,Jade,Samurai,Blue Eyes,Teeth,Wiggle,Yellow Bone,No Foreground,No Lasers,Blue Hoody];[0,3,7,0,8,3,2,0];
14;822618;[gematria_9,gematria_27,repeat_2_2,multiple_46,multiple_69];[Bag,Green,Red Suit,Candle,Red Eyes,Small Tusk,Wooden,Logo,Oak,No Lasers,Purple,Rubix,Goblin Banner];[5,5,2,0,0,2,6,10];
15;674888;[gematria_5,gematria_41,repeat_2_8,repeat_3_8,multiple_58,multiple_232];[Bag,Purple,I Love Goblins,Short Hair,Green Goggles,Teeth,Cream,Spike,Bat,No Lasers,Ruby,Elemental,Tiger];[2,8,4,9,5,6,0,2];
16;704806;[gematria_7,gematria_25,contains_70];[No Back Props,Black,I Love Goblins,Short Hair,Lazy,Open Mouth,Drill,No Earrings,Bat,No Lasers];[3,7,4,0,5,4,0,2];
17;340933;[gematria_4,gematria_22,repeat_2_3];[No Back Props,Mint,Dead Dwarf,Bald,Blue Eyes,Small Tusk,Green Nose,Yellow Bone,No Foreground,No Lasers,Striped];[5,4,7,0,4,0,5,0];
18;270587;[gematria_2,gematria_29,contains_70];[Arrows,Purple,Grey Suit,Bald,Green Goggles,Open Mouth,Mechanic,Spike,No Foreground,No Lasers];[2,5,4,0,4,3,0,5];
